# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,10.0,5.0,-0.011846770347,-0.001681675328,-0.073759859208,0.000574463346,-0.182251052185,0.000602128132
-20.0,10.0,10.0,-0.027275880683,-0.00328220124,-0.145931036735,0.001147935834,-0.360718960021,0.001169953498
-20.0,10.0,15.0,-0.044308327828,-0.004648416898,-0.209138905371,0.001660862534,-0.516705655066,0.001649747597
-20.0,10.0,20.0,-0.06209320535,-0.005769984954,-0.263777132133,0.002113815163,-0.651290334215,0.002036545679
-20.0,15.0,-20.0,-0.003921712278,0.009734898531,0.283059751417,-0.003231572255,0.701586452133,-0.003596148871
-20.0,15.0,-15.0,0.001244154389,0.007519999477,0.220775943968,-0.002527957676,0.546986139095,-0.002770576693
-20.0,15.0,-10.0,0.004142915179,0.005090771368,0.151336582259,-0.001738925677,0.374708702356,-0.001869346647
-20.0,15.0,-5.0,0.00379690679,0.002437851563,0.075029813715,-0.000865876282,0.1855096546,-0.000888100503
-20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,15.0,5.0,-0.011896845469,-0.002735457807,-0.073057538148,0.000855327599,-0.180562441789,0.001007108081
-20.0,15.0,10.0,-0.027266153141,-0.005295896789,-0.14449060143,0.001708003031,-0.357545192042,0.001936548654
-20.0,15.0,15.0,-0.044118099598,-0.007475964567,-0.207010020251,0.002469697563,-0.512103375283,0.002718115068
-20.0,15.0,20.0,-0.061561944274,-0.0092949305,-0.261033285005,0.00314161156,-0.645381373531,0.003360444938
-20.0,20.0,-20.0,-0.001401133072,0.014347051791,0.280219322672,-0.00428432785,0.695145914115,-0.005539070223
-20.0,20.0,-15.0,0.002953845611,0.011099055363,0.218319678867,-0.00334847398,0.541352526739,-0.004271820578
-20.0,20.0,-10.0,0.005118367458,0.007530514857,0.149569730464,-0.002301142245,0.37060529055,-0.002887709368
-20.0,20.0,-5.0,0.004166161866,0.00373047507,0.074120205633,-0.001144626118,0.183305061664,-0.001426968955
-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,20.0,5.0,-0.012064538935,-0.003975178408,-0.072168810811,0.001129374346,-0.1784015741,0.001513352746
-20.0,20.0,10.0,-0.027418660093,-0.007639718347,-0.14266129105,0.002253028607,-0.353557594601,0.002883962011
-20.0,20.0,15.0,-0.044079409955,-0.010742150294,-0.204296520413,0.003255032567,-0.506331967456,0.004026648658
-20.0,20.0,20.0,-0.061180197999,-0.013355912961,-0.2575164574,0.004137631579,-0.637942667793,0.004975404971
